date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:51	440414/440414	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:39%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/Zing_Vitamin_Bar_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/Zing_Vitamin_Bar_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:05:56	344500/344500	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:38%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/The_Harbour-Pier_Bar_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/The_Harbour-Pier_Bar_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:06:17	413823/413823	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:37%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/Sports_Bar-_Score_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/Sports_Bar-_Score_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:06:26	373425/373425	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:35%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/Irish_Pub-The_Shamrock_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/Irish_Pub-The_Shamrock_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:06:59	391946/391946	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:32%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Seafood_Restaurant/__thumbs_1550_855_scale/Fish_Restaurant-Seahourse_2_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Seafood_Restaurant/__thumbs_1550_855_scale/Fish_Restaurant-Seahourse_2_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:07:08	313593/313593	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:33%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Seafood_Restaurant/__thumbs_1550_855_scale/Fish_Restaurant-Seahourse_3_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Seafood_Restaurant/__thumbs_1550_855_scale/Fish_Restaurant-Seahourse_3_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:07:11	282186/282186	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:33%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Turkish_Restaurant/__thumbs_1550_855_scale/Turkish_Restaurant_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Turkish_Restaurant/__thumbs_1550_855_scale/Turkish_Restaurant_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:07:20	555304/555304	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:34%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/19th_Hole_Bar_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/__thumbs_1550_855_scale/19th_Hole_Bar_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:08:00	377367/377367	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:30%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Far_East_Restaurant/__thumbs_1550_855_scale/Far_East_Restaurant-Chufang_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Far_East_Restaurant/__thumbs_1550_855_scale/Far_East_Restaurant-Chufang_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:08:11	318769/318769	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:29%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Far_East_Restaurant/__thumbs_1550_855_scale/Far_East_Restaurant-Chufang_2_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Ala_Carte_Restaurants/Far_East_Restaurant/__thumbs_1550_855_scale/Far_East_Restaurant-Chufang_2_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
